URL,Page type,Primary keyword,Secondary keywords,Search intent,Funnel stage,User problem,Suggested title,Suggested H1,Suggested meta description,Supporting sections,Internal links in,Internal links out,Cannibalization risk,Indexability,Content priority,Validation
/watches/quartz,Category,ساعت کوارتز,ساعت باتری‌خور,Transactional,BOFU,دقت و باتری,خرید ساعت کوارتز / KRONOS,ساعت کوارتز,مقایسه دقت و عمر باتری,"battery؛ accuracy",Movement guide,"Product; comparison",article آموزشی بماند,"index,follow",P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/water-resistant,Curated landing,ساعت ضد آب,ساعت مقاوم در برابر آب,Transactional + Commercial,MOFU/BOFU,تفسیر rating,ساعت مقاوم در برابر آب / KRONOS,ساعت‌های مقاوم در برابر آب,مقایسه rating و محدودیت استفاده,"سطوح؛ فعالیت؛ هشدار",Water guide,"Product; water guide",landing خرید و guide آموزش,index فقط با inventory و copy یکتا,P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches/price/[range],Price landing,ساعت تا [بازه قیمت],ساعت اقتصادی,Transactional,BOFU,سقف بودجه,ساعت در بازه [بازه] / KRONOS,ساعت در بازه [بازه],قیمت‌های ثبت‌شده و به‌روز,"freshness؛ categories",Budget guides,Products,فقط ranges معتبر,noindex تا keyword و price validation,P2,REQUIRES_KEYWORD_TOOL_VALIDATION
/brands,Brand hub,برندهای ساعت,برند ساعت مچی,Commercial Investigation,MOFU,تفاوت برندها,راهنمای برندهای ساعت / KRONOS,راهنمای برندهای ساعت,بررسی کشور و نوع موتور,"A-Z؛ کشور؛ موتور",Home,Brand pages,claim بهترین ممنوع,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/brands/[brand],Brand landing,ساعت [برند],خرید ساعت [برند],Navigational + Transactional,BOFU,مدل‌های برند,ساعت [برند] / KRONOS,ساعت [برند],خانواده مدل‌ها و محصولات ثبت‌شده,"source؛ collection؛ disclaimer",Brand hub,"Product; official source",حضور صفحه نمایندگی نیست,index فقط با محتوای یکتا,P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/product/[slug],Product,[برند] [مدل] [reference],قیمت و مشخصات مدل,Transactional,BOFU,جزئیات همان مدل,مشخصات [برند] [مدل] / KRONOS,[برند] [مدل] [Reference],مشخصات و شرایط فروش ثبت‌شده,"gallery؛ specs؛ policy",Category; brand,"Guides; related",هر URL یک reference,index فقط با داده تأییدشده,P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/compare,Comparison tool,مقایسه ساعت,فرق مدل‌های ساعت,Commercial Investigation,MOFU,دیدن تفاوت‌ها,مقایسه ساعت‌ها / KRONOS,مقایسه ساعت‌ها,مقایسه موتور و ابعاد,"selector؛ differences",Product; category,Product; guide,parameter URLs noindex,landing index; combinations noindex,P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/watch-buying-guide,Guide,راهنمای خرید ساعت,راهنمای انتخاب ساعت,Informational + Commercial,TOFU/MOFU,معیار انتخاب,راهنمای خرید ساعت / KRONOS,راهنمای خرید ساعت مچی,انتخاب بر اساس کاربرد و اندازه,"use؛ motor؛ size؛ budget",Home; category,Categories; guides,مقاله جامع informational,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/authenticity,Guide/Trust,تشخیص اصالت ساعت,ساعت اصل و فیک,Informational + Commercial,MOFU,نگرانی جعلی‌بودن,تشخیص اصالت ساعت / KRONOS,راهنمای بررسی اصالت ساعت,مدارک و محدودیت تشخیص,"documents؛ serial؛ limits",Luxury; product,"Official sources; policy",Guide جای تعهد نیست,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/watch-size,Guide,اندازه ساعت مچی,سایز ساعت,Informational + Commercial,MOFU,تناسب ابعاد,راهنمای اندازه ساعت / KRONOS,چگونه اندازه مناسب ساعت را انتخاب کنیم؟,قطر و lug-to-lug را مقایسه کنید,"measure؛ dimensions",Product; gift,Categories; products,معیار مشترک pages,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/watch-crystal,Guide,انواع شیشه ساعت,سافایر یا معدنی,Informational,TOFU/MOFU,خط‌وخش و ضربه,انواع شیشه ساعت / KRONOS,انواع شیشه ساعت و تفاوت آن‌ها,مقایسه مقاومت و بازتاب,"types؛ pros/cons؛ care",Product,Products; care,glossary تداخل نکند,"index,follow",P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/water-resistance,Guide,مقاومت در برابر آب ساعت,معنی 30m 50m 100m,Informational + Support,TOFU/Post-purchase,تفسیر rating,راهنمای مقاومت آب / KRONOS,راهنمای مقاومت در برابر آب ساعت,معنی rating و محدودیت استفاده,"ratings؛ activity؛ warnings",Sport; product,Products; service,guide آموزشی,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/watch-movements,Guide,انواع موتور ساعت,اتوماتیک و کوارتز,Informational + Commercial,TOFU/MOFU,تفاوت موتور,انواع موتور ساعت / KRONOS,مقایسه انواع موتور ساعت,مقایسه دقت و نگهداری,"taxonomy؛ table",Categories; product,"Automatic; quartz",parent overview,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/automatic-watch,Guide,ساعت اتوماتیک چیست,طرز کار ساعت اتوماتیک,Informational,TOFU/MOFU,نحوه کار,ساعت اتوماتیک چیست؟ / KRONOS,ساعت اتوماتیک چیست؟,طرز کار و مراقبت,"rotor؛ winding؛ reserve",Automatic category,Products; care,guide تعریف و category خرید,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/mechanical-vs-quartz,Comparison article,ساعت مکانیکی یا کوارتز,تفاوت اتوماتیک و باتری,Commercial Investigation,MOFU,انتخاب موتور,مکانیکی یا کوارتز / KRONOS,ساعت مکانیکی یا کوارتز؟,مقایسه دقت و هزینه,"table؛ personas؛ caveat",Movement guide,"Mechanical; quartz",comparison intent,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/watch-care,Guide,نگهداری ساعت,مراقبت از ساعت مچی,Informational + Post-purchase,Post-purchase,کاهش آسیب,راهنمای نگهداری ساعت / KRONOS,اصول نگهداری ساعت مچی,مراقبت مطابق دستور سازنده,"cleaning؛ water؛ storage",Product; support,"Service; water guide",brand advice منبع رسمی,"index,follow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/watch-gift,Guide,خرید ساعت هدیه,انتخاب ساعت هدیه,Commercial Investigation,MOFU,سلیقه و اندازه,راهنمای خرید ساعت هدیه / KRONOS,چگونه ساعت مناسبی برای هدیه انتخاب کنیم؟,کاهش ریسک انتخاب,"recipient؛ size؛ budget",Home; gender pages,"Categories; policy",intent مستقل,"index,follow",P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/services,Service hub,تعمیر ساعت,خدمات ساعت,Transactional + Support,BOFU/Post-purchase,دامنه و هزینه,خدمات و تعمیر ساعت / KRONOS,خدمات ساعت,خدمات فعال و شرایط پذیرش,"service؛ process؛ FAQ",Footer; product,"Contact; warranty",تا تأیید خدمت noindex,noindex تا خدمت CONFIRMED,P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/guides/watch-service,Guide,سرویس ساعت مکانیکی,زمان سرویس ساعت,Informational + Support,Post-purchase,علائم سرویس,سرویس ساعت مکانیکی / KRONOS,چه زمانی ساعت مکانیکی به سرویس نیاز دارد؟,علائم و تفاوت دستور سازنده,"symptoms؛ caveat؛ process",Care; services,"Official sources; service",guide آموزشی,"index,follow",P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/warranty,Trust/Support,گارانتی ساعت,شرایط گارانتی,Support + Commercial,BOFU/Post-purchase,پوشش و provider,شرایط گارانتی / KRONOS,گارانتی و خدمات ضمانت,مدت و استثناهای ثبت‌شده,"provider؛ exclusions؛ process",Product; FAQ,Contact; product,Policy مالک intent,noindex تا تصویب; سپس index,P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/shipping-returns,Trust/Support,شرایط ارسال و مرجوعی ساعت,هزینه ارسال و بازگشت,Support + Commercial,BOFU/Post-purchase,هزینه و شرایط,ارسال و بازگشت کالا / KRONOS,ارسال و بازگشت کالا,هزینه و استثناهای تأییدشده,"cost؛ handling؛ exceptions",Cart; product,Contact; support,FAQ فقط خلاصه,noindex تا تصویب; سپس index,P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/authenticity,Trust policy,اصالت ساعت در کرونوس,مدارک همراه ساعت,Commercial + Support,BOFU,تعهد فروشگاه,سیاست اصالت / KRONOS,اصالت و مدارک همراه محصولات,دامنه تعهد و محدودیت‌ها,"scope؛ evidence؛ disputes",Product; guide,"Contact; official sources",Policy و guide جدا,noindex تا تصویب; سپس index,P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/search?q=,Internal search,جستجوی ساعت [query],نتایج جستجو,Navigational/Transactional,BOFU,یافتن مدل,نتایج [query] / KRONOS,نتایج جست‌وجو,نتایج مرتبط,"correction؛ filters",Site search,Products; categories,query thin,"noindex,follow; canonical /watches",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches?sort=,Sort URL,—,مرتب‌سازی,Transactional utility,BOFU,تغییر ترتیب,—,—,—,result order,Category UI,Products,duplicate,"noindex,follow; canonical clean",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/watches?filters=,Faceted URL,—,فیلتر ترکیبی,Transactional utility,BOFU,محدودکردن نتایج,—,—,—,"filters؛ count؛ clear",Category UI,Products,URL explosion,"noindex,follow; canonical parent",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/about,Brand page,درباره کرونوس,فروشگاه کرونوس,Navigational,MOFU,شناخت کسب‌وکار,درباره KRONOS,درباره KRONOS,اطلاعات تأییدشده کسب‌وکار,"mission؛ policy؛ facts",Footer; Home,Contact; policies,با Home رقابت نکند,index پس از تأیید facts,P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/contact,Contact,تماس با کرونوس,پشتیبانی کرونوس,Navigational + Support,BOFU/Post-purchase,راه تماس,تماس و پشتیبانی KRONOS,تماس با KRONOS,کانال و زمان تأییدشده,"channels؛ form؛ privacy",Footer; policies,FAQ; support,placeholder index نشود,noindex تا config; سپس index,P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/faq,FAQ,سوالات متداول خرید ساعت,ارسال و گارانتی,Support,MOFU/Post-purchase,پاسخ کوتاه,پرسش‌های متداول KRONOS,پرسش‌های متداول,پاسخ بر اساس policy,"buying؛ shipping؛ warranty",Product; policies,"Policy; contact; guides",جای policy را نگیرد,index فقط با پاسخ تأییدشده,P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/account/login,Authentication,ورود کرونوس,حساب کاربری,Navigational,BOFU,دسترسی حساب,ورود به حساب / KRONOS,ورود به حساب کاربری,ورود با روش تأییدشده,"login؛ recovery؛ privacy",Header; checkout,Account; support,utility,"noindex,nofollow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/cart,Cart,سبد خرید کرونوس,—,Transactional utility,BOFU,مرور سفارش,سبد خرید / KRONOS,سبد خرید,مرور محصول و هزینه,"items؛ qty؛ totals",Product; header,"Checkout; policy",private,"noindex,nofollow",P0,REQUIRES_KEYWORD_TOOL_VALIDATION
/wishlist,Wishlist,علاقه‌مندی‌های کرونوس,—,Navigational utility,MOFU,ذخیره برای بعد,علاقه‌مندی‌ها / KRONOS,علاقه‌مندی‌ها,مرور مدل‌های ذخیره‌شده,"saved؛ compare",Product; header,Product; compare,user-specific,"noindex,nofollow",P1,REQUIRES_KEYWORD_TOOL_VALIDATION
/404,Error,—,—,Error,—,مسیر ناموجود,صفحه پیدا نشد / KRONOS,صفحه پیدا نشد,ادامه از فروشگاه یا جستجو,"search؛ links",Broken URLs,"Home; watches",not target,noindex,P0,REQUIRES_KEYWORD_TOOL_VALIDATION
